,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
195006,62.86,43.93,100.08,35.22,14.14,42.53,18.34,68.5,192.2,21.11,43.24,66.18,32.01,100.7,112.11,31.23,39.66,15.08,248.99,93.86,536.02,9.47,106.71,59.53,38.06,22.21,69.74,10.6,55.55,23.26
195007,58.64,43.18,90.75,28.38,12.8,38.86,17.42,65.89,180.98,20.11,39.6,62.97,30.02,93.4,107.67,29.25,35.22,14.06,231.2,86.94,565.36,8.51,97.36,53.37,35.73,20.57,66.74,9.89,48.81,19.72
195008,57.06,45.39,88.71,29.74,12.23,37.72,18.4,61.16,174.02,23.4,36.7,70.6,31.44,91.87,106.45,34.33,36.39,16.85,250.92,82.12,557.87,8.43,92.36,53.55,41.41,21.1,65.83,9.82,45.66,18.22
195009,59.8,46.37,88.37,30.31,13.22,41.69,18.96,63.09,185.23,23.9,38.85,72.79,32.64,95.19,112.21,33.34,38.93,17.55,258.92,84.42,572,8.88,98.72,58.7,41.16,23.47,67.97,10.23,47.55,18.9
195010,61.57,51.07,92.36,33.28,15.03,42.99,19.96,66.76,192.61,24.82,41.9,74.95,34.7,98.79,120.9,32.96,42.5,17.97,267.77,87.71,561.15,9.28,103.94,62.3,42.75,24.67,73.62,10.88,51.14,20.21
195011,61.13,49.94,92.18,31.29,14.88,42.32,19.87,65.39,190.91,24.48,41.07,77.94,34.34,97.34,121.32,33.67,41.65,17.44,268.45,86.71,562.33,9.18,102.24,62.22,42.28,23.55,74.34,10.66,50.44,20.16
195012,60.3,51.03,89.48,30.62,14.49,43.65,20.42,67.78,201.96,24.73,41.93,79.69,34.77,96.25,114.29,35.35,44.22,17.96,277.33,85.21,560.86,8.88,108.02,65.68,43.43,24.22,74.19,10.65,51.46,20.1
195101,60.79,54.1,88.05,30.54,14.67,44.06,21.49,71.58,213.31,27.69,42.7,85.39,37.86,99.8,116.46,38.99,47.28,20.34,300.58,87.82,562.84,8.89,109.35,69.47,50.37,25.06,75.55,11.04,53.23,20.31
195102,63.3,58.22,91,32.01,15.66,47.14,21.88,73.65,222.1,28.63,46.08,92.62,40.11,110.14,126.91,40.19,50.17,21.11,318.99,91.86,573.42,9.33,113.07,73.06,54.43,26.22,78.03,11.71,54.37,22.31
195103,64.2,56.16,89.31,33.31,15.64,47.74,22.38,74.45,226.88,29.17,47.39,89.47,40.67,111.28,128.49,40.63,49.87,21.12,319.55,94.22,596.86,9.2,112.98,73.79,52.9,25.8,80.14,11.94,55.46,22.38
195104,62.93,53.32,87.63,31.01,14.84,46.15,21.15,75.49,222.31,26.34,47.36,84.49,38.58,109.9,129.41,37.22,47.61,19.57,311.84,92.37,581.94,9.17,110.14,72.18,50.62,25.81,78.08,11.47,54.94,22.26
195105,63,55.38,87.11,31.47,15.21,46.32,21.34,83.19,240.68,26.83,49.06,90.03,40.27,112.8,134.94,39.18,50.5,19.04,346.09,92.21,586.88,9.04,114.15,78.38,52.34,25.68,78.21,11.26,57.07,22.94
195106,61.97,55.2,84.32,29.95,14.35,45.16,20.76,84.23,238.34,26.45,46.72,85.54,39.04,108.61,126.02,37.79,48.5,18.7,332,91.76,584.32,8.91,111.82,75.58,49.89,27.45,76.39,10.56,55.91,22.49
195107,59.26,53.08,83.6,28.38,13.79,41.27,19.96,83.48,242.38,25.45,45.36,81.76,36.77,104.21,115.67,33.88,46.07,18.87,334.64,88.39,632.56,8.67,105.98,75.14,45.8,25.3,73.51,9.95,52.46,22.08
195108,60.98,57.31,86.17,30.42,14.03,43.99,20.12,95.33,262.04,25.98,48.6,89.68,39.05,109.41,120.63,37.18,49.2,19.81,372.84,92.78,650.25,8.79,113.13,79.91,49.54,27.85,75.14,10.28,55.54,23.15
195109,62.8,58.74,88.15,32.23,14.51,44.96,20.64,93.68,266.56,26.84,50.7,98.37,40.67,117,127.14,38.26,53.52,21.19,389.66,94.22,667.36,8.85,116.58,82.23,49.91,28.67,76.58,10.72,57.67,23.5
195110,61.86,60.73,88.14,34.77,14.27,45.06,20.02,91.77,262.59,26.12,50.95,99.39,41.13,120.19,130.09,39.65,56.61,22.14,386.03,95.01,657.81,8.78,119.75,81.25,51.61,33.5,78.32,10.67,57.97,23.54
195111,59.55,58.01,86.06,33.52,14.19,43.49,19.84,86.12,242.28,25.08,49.86,97.84,39.97,112.21,127.36,38.08,53.7,21.75,390,96.29,650.72,8.84,112.26,78.29,49.34,30.05,76.08,10.7,56.8,21.84
195112,58.99,56.93,84.97,33.28,14.43,43.08,19.6,85.22,241.09,25.09,48.89,97.2,40.38,113.92,127.1,36.81,53.92,22.41,381.42,97.41,652.68,8.8,115.7,78.87,49.9,30.16,76.41,10.79,58.38,22.13
195201,60,58.28,85.49,32.09,13.95,43.92,19.74,89.28,260.19,25.3,50.07,97.34,41.46,118.35,131.28,36.94,52.82,22.03,399.3,100.09,649.99,8.83,120.8,81.24,50.39,29.91,75.83,10.84,61.44,22.77
195202,60.36,55.66,89.94,32.03,13.68,43.89,19.87,89.71,251.08,23.93,50.12,100.29,41.63,117.03,129.48,38.14,55.34,23.04,425.43,102.69,651.14,9.38,117.66,81.6,52.16,29.85,75.11,11.06,63.04,23.17
195203,59.28,53.42,86.23,31.89,13.37,43.6,19.03,85.58,241.16,22.91,48.87,92.94,40.35,112.12,127.07,36.43,52.01,23.12,406.81,102.96,646.98,9.12,114.45,78.98,51.54,28.77,71.75,10.99,62.8,21.62
195204,59.76,57.45,87.6,31.72,13.66,44.48,19.46,85.69,248.78,23.75,50.29,94.37,41.38,119.85,138.09,36.75,52.94,23.06,442.42,104.76,645.81,9.15,114.92,80.69,55.5,28.46,73.44,11.51,64.53,22.33
195205,58.45,51.81,84.24,29.86,13.24,41.76,18.79,80.83,230.27,22.46,48.23,86.84,39.38,115.05,132.68,35.1,49.87,21.17,408.29,102.45,640.99,8.98,111.88,75.77,53.5,26.53,72.08,11.27,63.51,21.33
195206,59.55,52.29,82.88,27.47,13.49,41.46,19.03,82.53,244.21,23.45,49.71,87.98,40.39,118.21,136.12,36.64,50.5,21.99,418.47,105.06,647.48,8.92,114.48,77.28,55.43,27.39,73.49,11.35,64.83,21.29
195207,60.89,55.02,89.76,24.7,13.39,42.31,19.86,82.53,249.07,27.96,51.42,93.85,41,120.37,142.04,38.04,55.19,23.78,429.52,112.62,742.73,8.91,115.1,84.93,58.99,28.2,75.4,11.59,66.74,21.16
195208,61.06,57.84,89.03,24.36,13.6,42.86,20.44,78.77,251.85,27.35,51.99,96.93,42.44,121.84,145.35,38.26,56.04,23.87,424.73,114.47,744.55,8.83,116.67,87.82,59.26,27.77,76.92,11.5,68.4,22.04
195209,61.59,57.38,89.33,25.58,13.33,42.82,20,77.97,246.42,27.11,51.22,93.39,41.44,121.62,145.56,38.08,55.62,23.42,408.96,116.1,751.03,8.83,115.72,86.11,58.77,27.14,76.22,11.86,67.32,22.12
195210,60.08,49.91,88.56,24.92,13.22,42.34,19.66,73.28,241.86,25.52,49.98,89.54,40.36,123.47,143.97,37.32,54.11,23.41,390.82,115.84,737.71,8.55,113.71,85.28,57.38,25.95,75.55,11.96,67.17,22.01
195211,58.92,48.45,94.93,23.35,13.22,42.43,19,72.15,236.77,23.63,48.92,89.11,39.38,122.5,145.77,37.4,51.4,22.87,392.03,115.78,744.48,8.7,111.5,83.61,57.39,26.02,74.48,11.83,64.93,20.84
195212,61.28,52.86,101.29,25.24,13.58,44.52,20.3,76.93,258.29,24.82,51.82,94.44,42.02,134.92,154.59,39.07,53.93,24.87,395.07,121.17,773.49,8.54,118.38,89.93,61.2,27.04,77.1,11.77,69.35,22.33
195301,61.85,52.36,101.52,26.64,13.83,44.88,20.21,75.15,262.04,25.78,52.89,98.05,42.57,137.37,165.2,39.66,54.9,24.29,413.06,122.98,770.67,8.43,122.36,92.4,63.12,27.55,77.53,12.22,71.75,22.2
195302,63.36,52.24,106.33,26.76,14.28,44.92,20.28,71.14,262.54,25,53.34,99.44,42.43,132.76,164.45,42.17,54.76,24.71,400.2,123.72,887.05,8.65,121.99,91.09,64.1,27.33,79.14,12.59,71.43,22.69
195303,63.89,52.1,110.35,27.77,14.88,44.47,21.41,72.29,253.87,25.24,53.12,97.83,41.88,135.99,160.38,42.52,56.08,24.35,397.47,123.82,883.11,8.56,122.59,91.37,62.98,26.79,78.56,12.89,70.71,22.08
195304,63.25,51.02,105.15,28.87,14.64,44.12,20.82,71.82,253.66,23.93,52.76,92.88,41.3,132.83,152.86,40.53,53.75,22.61,395.32,123.41,867.01,8.84,123.05,90.24,61.15,26.3,77.9,13.02,70.9,22.45
195305,62.74,48.85,109.88,28.04,14.38,42.37,20.52,69.06,244.78,23.16,51.54,92.06,40.44,133.65,149.68,38.76,58.73,21.04,374.79,119.37,857.99,8.75,119.96,88.11,59.8,25.24,77.19,12.84,67.65,22.07
195306,62.6,48.98,108.68,27.98,14.38,42.29,20.52,68.7,243.44,22.93,51.28,90.98,40.13,134.56,147.24,39.63,57.06,20.75,377.65,118.64,861,9.25,121.29,88.67,61.07,25.3,77.98,12.75,67.66,22.31
195307,61.74,48.44,110.62,23.5,13.79,39.69,20.59,64.1,228.95,23.15,49,87.5,40.81,126.01,140.77,35.14,48.6,19.94,379.56,119.78,877.15,9.18,118.21,86.1,60.71,24.72,75.99,11.91,66.79,22
195308,63.86,49.95,115.79,24.2,13.71,41.61,20.59,66.38,234.87,23.38,50.06,90.38,40.96,129.04,141.51,35.05,49.16,19.98,394.51,123.43,885.39,9.15,120.68,88.71,61.42,24.54,77.45,12.07,67.65,22.13
195309,61.83,48.39,108.21,22.59,12.98,39.95,20.4,66.11,227.02,22,47.65,81.95,38.17,120.88,130.23,33.57,45.45,18.34,364.81,122.47,877.82,8.81,118.66,83.41,55.71,26.52,75.1,10.94,65.33,21.67
195310,61.4,46.64,111.95,21.79,13.11,39.24,19.89,66.14,230.73,21.41,47.84,81.25,37.9,126.01,130.99,33.71,45.02,17.63,357.56,123.79,880.64,8.73,118.43,86.32,54.53,25.81,75.02,10.84,65.34,21.42
195311,61.98,47.79,109.77,22.32,13.77,41.51,20.24,67.76,241.07,21.41,50.53,87.96,39.39,136.63,141.5,35.54,46.52,17.87,377.49,128.88,892.86,9.22,123.95,94.22,56.34,25.94,75.52,10.83,68.27,22.19
195312,63.21,49.71,99.78,24.53,14.04,43.18,20.28,72.65,249.95,21.07,52.04,88.27,40.34,144.65,140.5,36.75,45.88,18.38,379.67,132.11,912.77,9.32,125.4,100.01,56.83,26.22,77.36,10.98,70.57,22.78
195401,63.64,48.75,94.9,24.79,14.23,42.95,19.81,71.26,251.51,20.28,52.46,86.97,39.86,142.25,139.19,36.98,44.04,17.31,381.16,132.37,904.68,9.49,128.79,100.8,54.19,26.05,77.81,10.84,70.32,23.75
195402,66.2,51.66,96.86,25.56,14.8,44.48,20.32,75.24,254.06,21.77,55.74,93.54,42.97,152.41,147.04,39.8,47.64,18.92,413.89,136.29,921.79,9.63,136.83,105.03,58.36,27.83,80.05,11.47,73.05,24.92
195403,65.78,51.28,91.96,26.1,15.35,44.15,20.6,74.73,252.47,21.98,56.72,92.54,43.84,160.42,147.23,41.72,49.29,17.42,421.7,137.96,945.45,9.67,142.03,105.76,58.47,28.53,79.69,11.52,73.89,25.3
195404,67.28,49.44,91.96,27.09,15.51,46.33,20.83,74.7,263.53,21.31,57.5,99.09,44.28,170.61,152.51,46.5,50.84,17.51,439.56,141.27,948.8,9.85,158.79,112,58.03,28.28,79.81,11.19,77.06,25.68
195405,67.95,48.75,95.67,27.28,16.29,47.57,20.7,75.45,286.13,20.1,59.5,105.6,46.54,191.72,160.41,46.16,52.39,17.14,466.76,142.58,967.42,10.05,163,120.56,58.92,28.46,80.96,11.39,81.19,26.66
195406,68.49,51.3,94.04,28.1,16.56,50.39,21.42,76.35,294.82,22.55,61.06,111.71,48.55,184.72,165.27,49.11,55.94,18.34,476.12,145.76,979.25,10.33,172.29,123.26,61.66,28.62,82.81,12.13,82,26.5
195407,71.41,50.5,85.69,27.9,16.84,52.92,22.72,76.63,294.09,23,64.78,113.31,49.05,202.8,171.9,51.39,55.38,22.09,435.72,155.1,922.41,10.84,187.85,131.9,60.26,30.39,84.89,13.03,84.33,26.19
195408,75.12,54.9,92.6,29.96,17.56,53.62,24.25,82.87,300.59,24.72,68.29,122.33,51.39,199.98,189.37,57.91,58.39,22.28,457.2,163.03,962.61,11.4,190.18,139.31,64.1,31.95,88.26,14.3,90.6,26.97
195409,72.45,54.78,90.16,31.58,17.45,54.75,23.17,80.36,288.58,23.54,65.52,113.34,49.63,189.15,180.3,58.23,55.48,22.85,454.66,159.54,947.57,11.32,182.64,132.33,61.06,31.36,87.53,15.86,89.95,26.67
195410,74.65,55.44,94.99,33.21,17.85,60.04,23.63,82.36,309.15,24.66,70.46,121.73,52.15,201.75,207.94,59.7,60.18,24.53,499.93,162.05,960.15,11.73,190.62,139.44,63.13,31.89,91.67,17.31,93.13,28.13
195411,72.81,54.59,92.46,31.14,17.32,58.99,23.54,80.88,295.52,24.2,72.12,122.05,52.86,196.04,207.07,59.61,59.47,23.21,499.31,155.34,952.03,11.95,189.98,138.8,64.65,30.73,89.23,17.04,91.26,28.47
195412,76.96,58.11,93.68,33.62,18.18,63.32,24.36,90.36,335.25,26.55,81.96,139.05,57.73,214.63,215.08,64.7,65.31,27.68,534.05,163.4,984.41,12.49,226.77,154.52,71.53,33.12,95.93,17.66,100.51,29.98
195501,78.45,62.65,100.51,36.81,18.88,65.04,25.35,95.59,347.49,28.41,83.66,155.84,60.9,222.09,231.37,73.77,67.52,30.45,568.03,167.75,987.7,13.37,228.48,162.61,79.71,34.83,97.21,20.12,106.08,30.79
195502,78.55,59.98,101.85,36.2,18.9,63.97,26.49,92.69,337.84,28.92,83.71,161.14,61.59,231.84,233.13,80.09,69.74,29.37,570.34,169.71,995.61,13.46,232.55,156.17,80.24,34.13,98.87,20.86,106.11,30.63
195503,79.56,60.68,99.32,36.9,19.76,66.63,27.12,94.93,351.01,29.11,87.1,166.74,64.64,241.87,228.78,82.65,69.26,31.48,579.42,175.34,1035.16,14.4,242.02,162.7,84.31,34.22,99.58,21.14,107.93,32.36
195504,78.96,59.16,98.92,35.51,18.89,65.2,27.27,104.87,346.78,27.5,88.59,171.3,64.63,232.69,228.79,80.37,75.04,31.31,577.59,173.27,1020.88,13.67,248.39,164.05,84.01,33.34,97.91,20.92,108.56,31.62
195505,82.21,58.16,107.56,37.52,18.97,66.08,27.23,104.73,374.36,28.19,92.83,175.87,65.6,249.78,241.1,74.18,74.95,30.62,588.61,177.07,1040.99,13.31,266.78,171.59,90.11,33.92,99.54,22.59,106.98,33.81
195506,81.72,59.59,104.1,37.66,18.76,66.01,27.3,107.62,392.58,28.09,94.46,178.09,64.68,248.42,237.4,73.24,78.95,33.01,579.7,176.04,1053.98,12.84,268.17,177.06,90.1,33.89,102.18,22.53,109.19,32.45
195507,88.6,57.44,102.89,39.45,19.66,72.76,28.96,107.44,457.87,29.47,98.72,199.38,69.01,243.83,268.1,73.25,76.68,36.09,638.43,180.1,1186.74,12.76,274.32,184.05,93.18,36.93,107.45,21.85,108.18,34.8
195508,89.27,57.58,110.4,39.35,19.88,73.7,29.87,107.43,448.39,30.27,98.65,200.31,68.6,236,319.98,71.63,73.32,38.68,656.22,186.25,1217.72,13.07,268.94,177.16,92.83,37.83,109.44,22.97,107.29,34.56
195509,87.86,57.13,110.99,38.74,19.2,75.04,29.56,107.14,456.52,29.64,99.3,211.11,69.25,240.57,306.28,75.98,77.56,44.01,643.83,185.61,1186.11,13.19,264.75,174.92,91.68,37.08,110.84,22.39,107.88,35.95
195510,84.85,56.27,114.31,36.51,19.21,72.58,29.47,103.47,444.21,29.15,99.61,212.24,68.86,225.11,340.5,73.67,74.33,42.2,649.91,179.98,1186.21,13.25,260.37,174.31,89.87,35.41,114.89,21.56,102.95,35.65
195511,84.58,52.71,113.88,35.24,19.16,70.32,29.03,104.16,433.38,28.7,96.61,200.63,67.26,211.25,323.78,75.54,70.65,42.52,642.75,177.65,1172.61,13.68,251.06,169.33,87.08,35.84,111.66,20.62,101.8,35.21
195512,87.08,54.13,116.87,36.03,20.48,75.79,29.01,109.84,461.56,29.4,102.84,215.57,72.91,236.65,348.58,83.48,77.02,46.88,690.98,182.82,1190.98,13.34,266.52,182.51,95.46,36.21,118.14,23.28,104.79,35.71
195601,87.38,55.09,118.64,35.24,20.56,75.47,29.18,116.35,471.67,29.81,105.24,219.57,75.49,249.66,343.91,89.42,74.94,50.52,715.97,181.91,1187.2,13.45,272.36,188.79,93.34,36.95,116.41,24.29,106.42,36.3
195602,85.41,55.13,118.88,33.27,20.25,72.5,28.62,108.58,449.33,29.28,100.44,210.93,72.2,235.39,319.93,83.54,72.94,53.45,718.14,180.77,1209.35,13.73,260.56,179.92,91,36.57,112.44,23.26,102.5,35.39
195603,87,54.88,113.04,35.79,20.97,77.12,28.86,117.02,465.24,29.28,105.02,219.3,75.93,249.41,333.86,86.31,77.5,59.82,745.37,183.38,1211.13,14.53,276.52,192.88,92.46,38.57,114.76,23.08,105.89,36.36
195604,88.07,57.28,114.61,35.73,21.38,80.28,28.77,125.23,491.09,29,117.15,240.64,78.91,269.22,349.07,86.41,78.41,65.05,830.42,189.65,1214,15.4,313.63,213.56,98.69,39.46,114.76,23.67,111.38,39.46
195605,87.75,58.37,131.44,36.71,21.91,79.08,29.03,128.5,486.7,27.96,117.03,249.36,81.08,262.3,331.4,88.12,76.97,60.95,861.2,184.95,1203.31,14.63,327.39,217.32,100.15,39.42,112.37,23.42,111.27,37.84
195606,84.98,55.83,124.55,35.23,22.24,74.1,27.73,126.4,455.6,26.15,112.22,226.44,78.48,242.12,312.34,83.36,70.94,58.65,800.7,182.77,1189.98,13.84,320.08,207.39,94.93,38.18,106.4,23.91,107.23,36.59
195607,86.39,57.84,125.16,35.62,22.89,73.36,29.87,133.25,469.55,26.97,118.74,234.17,83.69,259.93,367.24,84.53,71.43,75.04,826.85,191.08,1176.89,14.4,359.85,230.3,96.95,38.04,106.58,24.71,111.47,40.41
195608,89.13,57.93,127.43,35.95,23.9,75.11,29.9,137.18,481.92,27.06,126.62,259.52,90.77,273.77,383.97,89.26,72.12,76.7,889.72,200.52,1208.04,14.26,378.62,241.2,98.87,39.17,111.45,25.77,114.28,40.02
195609,87.2,58.73,123.24,36.26,24.7,76.42,29.41,132.39,461.82,26.13,122.43,252.79,87.15,264.95,382.26,93.75,74.31,71.88,837.97,194.7,1189.3,15.11,360.94,222.45,94.2,38.89,107.63,24.91,110.72,38.26
195610,83.81,57.3,117.85,35.09,23.11,73.08,28.22,127.21,430.34,25.51,114.4,240.65,84.13,245.15,373.04,88.88,70.31,70.26,804.85,186.51,1143.06,14.22,335.83,206.08,90.13,38.2,102.42,23.73,105,39.39
195611,83.46,55.98,121.05,35.36,23.57,71.09,28.82,127.75,433.27,25.8,112.61,242.18,86.71,253.3,372.25,91.97,69.67,75.87,806.37,187.85,1127.04,14.44,346.36,207.84,91.6,38.89,103.58,24.02,105.56,38.09
195612,82.68,54.76,118.23,35.33,23.5,69.76,28.35,125.03,416.19,25.26,108.02,245.17,87.9,249.39,356.16,95.64,69.28,79.8,842.64,187.74,1143.24,14.29,358.33,201.38,90.39,39.89,100.35,23.98,106.52,37.03
195701,82.97,57.68,120.86,36.2,22.54,73.43,28.48,131.95,446.34,24.88,113.54,257.85,93.39,256.87,363.94,98.88,70.71,78.66,894.96,190.43,1158.21,14.62,377.1,204.6,91.46,41.14,99.13,23.88,107.49,32.11
195702,83.98,57.44,126.41,36.7,22.93,70.03,28.79,128.82,420.51,25.34,108.4,233.15,91.28,236.91,340.29,96.84,71.25,74.75,856.85,194.75,1191.77,15.55,367.43,198.15,89.22,42.95,97.29,24.07,108.6,30.61
195703,82.45,57.91,122.61,35.68,22.98,68.14,28.75,127.81,410.25,23.36,106.18,221.58,88.96,237.76,329.68,90.09,71.66,69.26,832.79,193.29,1195.45,15.38,358.7,195.11,84.83,43.27,95.52,22.7,107.67,30.32
195704,83.29,58.78,123.73,36.44,23.11,74.36,29.07,137.97,420.15,23.75,107.85,225.88,90.36,248.69,331.66,89.4,74.84,70.06,858.95,195.79,1198.76,15.83,371.68,196.41,85.36,43.42,97.27,23.22,110.9,31.68
195705,84.55,59.62,124.34,37.32,24.75,73.45,30.47,145.24,442.41,23.71,108.88,238.59,92.74,268.17,357.94,90.98,74.31,68.8,918.48,201.47,1204.03,15.84,405.79,197.41,87.3,43.59,97.19,23.89,116.99,32.98
195706,84.94,61.83,121.69,38.76,26.1,75.79,30.55,151.46,455.84,24.65,114.21,241.71,95.98,279.65,360.52,90.31,73.4,72.2,983.23,205,1215.84,15.36,435.58,211.24,87.18,45,98.94,23.9,119.85,32.41
195707,84.43,62.27,119.81,37.77,26.61,74,29.41,163.8,459.22,26.19,107.96,251.33,98.13,252.46,357.44,87.18,77.72,75.31,968.53,202.19,1316.53,19.14,417.37,234.69,87.6,46.62,97.32,23.97,108.32,28.23
195708,85.91,61.07,119.23,38.3,26.59,77.02,30.77,167.85,465.97,25.93,109.59,250.07,97.27,261.74,370.51,84.04,78.41,74.46,977.04,201.52,1313.35,19.53,421.53,232.79,89.25,46.44,100.21,24.25,107.64,28.01
195709,83.8,58.31,121.17,36.25,25.37,75.21,29.68,162.07,441.01,23.99,101.39,230.75,91.3,244.18,354.47,82.46,73.05,68.96,916.11,195.42,1309.41,19.57,387.8,217.96,83.14,42.03,97.28,23.18,103.85,26.55
195710,82.3,54.84,127.4,34.12,25.3,73.75,28.8,156.9,411.92,22.57,95.83,210.13,84.31,226.48,328.06,73.98,65.53,62.26,842.78,191.17,1400.02,19.86,364.27,208.46,76.43,40.26,99.1,22.46,99.24,25.62
195711,80.52,53.51,128.67,30.77,23.38,71.1,27.7,155.54,396.87,20.71,91.86,194.06,78.53,226.72,316.64,70.87,61.13,59.29,792.05,189.21,1370.59,19.41,360.22,199.87,70.64,36.64,95.35,20.59,93.6,24.49
195712,82.69,56.02,131.79,31.94,23.7,73.65,27.12,167.68,413.48,21.11,95.46,192.34,76.75,244.66,300.64,78.88,53.93,58.33,805.2,196.46,1389.78,19.77,375.12,215.46,69.48,37.27,96.17,19.83,97.31,24.04
195801,83.2,54.11,135.75,30.34,25.21,75.51,26.18,165.87,399.37,19.43,93.54,174.96,70.67,231.35,280.68,73.89,49.5,53.24,748.62,200.66,1389.48,19.28,369.08,208.22,64.38,35.7,94.11,19.34,96.03,23.77
195802,88.85,57.89,143.87,33.32,26.63,76.82,28.32,165.08,412.8,22.47,99.7,189.91,77.95,239.44,290.78,77.65,53.82,58.04,758.71,212.52,1448.63,20.1,386.38,217.78,72.55,37.17,102.52,21.62,103.98,24.95
195803,91.26,63.67,141.89,32.92,25.56,78.48,28.74,172.52,402.8,22.01,99.85,188.75,74.86,230.03,280.95,75.62,51.71,55.99,718.03,214.33,1457.71,20.75,388.86,212.68,69.4,37.17,104.79,21.43,104.96,28.14
195804,94.26,65.29,150.63,33.52,26.06,81.69,29.48,186.23,401,22.38,102.59,192.15,77.53,230.62,287.72,75.58,55.94,56.39,775.18,217.64,1456.08,21.62,406.49,219.09,69.45,38.54,108.75,22.92,107.74,30.45
195805,98.58,67.52,157.47,34.13,27.32,82.9,30.25,198.12,403.69,23.47,103.75,194.36,78.98,227.12,300.16,78.1,56.49,59.08,814.25,227.99,1495.44,21.57,412.47,222.4,74.15,38.65,111.91,23.31,109.97,29.97
195806,101.17,69.52,156.67,35.78,28.16,85.82,31.1,200.3,408.01,24.53,105.36,206.01,81.03,231.79,315.37,81.81,58.71,62.43,822.95,230.33,1525.84,21.79,414.52,232.27,76.64,39.54,115.43,25.11,111.97,30.3
195807,101.82,74.66,177.19,38.7,27.17,90.45,30.63,201.85,408,24.35,107.05,211.57,74.8,227.89,368.23,106.54,58.6,73.97,872.56,237.57,1602.88,36.65,395.45,233.37,76.71,39.12,121.89,26.12,111.3,29.6
195808,103.2,77.04,177.14,39.6,26.91,98.97,31.37,213.63,448.1,26.09,114.08,235.43,80.86,238.87,405.75,112.82,52.74,83.18,875.43,239.52,1617.29,36.5,405.57,245.9,82.93,40.58,123.7,26.94,113.53,29.99
195809,105.21,80.58,179.48,42.2,29.1,97.26,32.16,217.15,457.16,27.08,116.35,241.46,83.47,243.5,401.29,112.96,49.08,84.91,886.82,236.1,1654.94,36.92,413.2,259.7,84.54,41.87,130.3,28.47,118.46,32.67
195810,106.73,85.3,193.38,45.63,31.26,101.12,33.28,242.23,469.9,29.71,120.33,261.02,86.73,255.87,439.02,111.74,49.46,84.26,916.05,243.38,1719.64,38.61,440.27,270.17,91.14,42.8,135.29,31.44,120.16,33.6
195811,108.47,90.22,196.67,49.2,32.9,110.38,33.11,244.55,472.98,30.67,121.8,273.69,89.24,266.12,451.1,118.34,50.98,86.41,926.31,253.19,1744.77,40.31,462.29,275.77,94.2,43.14,136.6,32.61,124.58,34.76
195812,113.03,94.84,198.38,51.38,35.52,115.39,33.77,262.76,486.9,31.34,126.12,273.37,92.55,275.99,471.22,117.89,51.47,85.15,938.56,259.54,1778.45,42.93,484.04,284.89,99.08,44.77,143.94,37.14,127.09,38.55
195901,115.86,95.22,205.05,51.3,34.72,117.39,34.96,273.91,514.53,32.3,132.15,291.5,94.92,305.86,487.99,119.24,53.48,88.21,949.39,274.08,1998.25,46.59,555,293.37,100.95,47.04,151.81,36.34,131.83,41.48
195902,118.44,97.41,223.03,53.54,36.05,119.22,37.72,272.12,513.02,33.25,134.43,295.52,95.91,303.71,485.79,119.28,56.01,89.86,952.93,276.78,2076.29,49.15,533.88,295.35,104.54,46.89,161.18,37.28,128.27,40.91
195903,121.51,99.95,221.81,56.54,35.49,123.25,39.61,281.72,537.32,35.07,140.36,297.43,98.42,318.93,479.07,125.27,55.86,88.33,875.53,279.26,2176.43,48.59,564.31,304.58,106.44,47.37,167.42,38.27,131.02,42.54
195904,120.26,97.24,226.72,59.18,35.1,133.55,39.16,293.38,543.01,35.35,139.96,289.69,97.93,327.61,473.17,129.27,57.95,88.63,894.05,282.83,2147.5,55.35,571.91,301.88,107.05,47.34,164.03,40.42,129.14,42.82
195905,122.65,98.49,235.68,65.77,35.11,131.29,39.88,327.99,581.36,36.77,145.55,295.8,101.66,350.68,516.02,130.9,53.96,88.25,908.97,278.96,2246.95,56.78,628.43,306.69,110.71,50.49,165.69,40.02,131.14,43.83
195906,127.08,98.96,219.75,64.48,34.34,134.51,39.8,323.64,612.88,37.48,150.5,308.71,105.9,354.44,535.63,133.01,52.87,86.78,894.28,274.91,2222.19,52.61,681.42,302.9,112.72,49.84,169.87,39.67,131.73,46.3
195907,129.34,99.53,232.22,68.15,33.22,130.59,45.14,348.12,606.04,40.51,149.52,324.85,112.5,342.31,561.79,133.67,48.51,89.05,926.58,269.62,2132.12,53.69,582.96,314.84,114.05,48.35,185.81,40.77,127.54,43.92
195908,133.94,109.51,233.97,70.91,36.2,133.02,44.6,364.37,643.81,43.29,152.35,335.92,114.67,344.22,602.13,133.9,49.04,98.81,970.46,279.22,2144.84,53.11,584.85,323.96,114.35,49.4,189.24,41.57,129.04,43.91
195909,132.36,106.44,239.3,69.2,37.02,137.19,43.94,350.51,619.72,41.77,147.99,340.7,111.94,335.64,602.36,118.93,47.82,98.32,933.2,281.99,2156.57,53.26,568.71,321.35,110.49,48.71,190.31,42.6,126.88,43.85
