,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
194502,54.5,27.57,84.78,39.57,13.51,34.76,15.59,39.22,115.7,13.92,29,44.45,32.03,96.73,87.09,33.53,36.51,7.16,166.17,76.07,495.31,5.18,77.05,27.08,44.93,14.16,49.83,8.14,33.97,24.78
194503,55.64,30.06,89.8,42.02,14.26,36.29,16.37,40.7,121.66,14.48,31.17,48.05,33.67,104.11,93.13,36.39,38.51,7.34,177.74,80.47,509.31,5.46,79.84,28.66,48.64,14.88,51.81,8.53,36.43,25.35
194504,53.93,29.58,86.36,40.24,12.94,34.6,15.73,39.88,117.01,13.84,29.48,45.26,31.79,99.33,87.21,34.09,36.44,6.88,168.08,77.54,502.04,5.04,76.76,27.27,47.02,14.03,51.06,7.99,34.88,24.02
194505,56.93,33.97,92.84,41.79,14.87,35.68,16.56,42.29,126.58,15.02,31.8,49.53,35.18,108.31,96.78,36.17,38.68,7.31,179.53,85.03,514.65,5.43,81.16,29.37,52.01,14.79,54.66,8.43,36.98,26.59
194506,58,33.67,94.65,44.7,15.45,38.15,17.28,43.84,125.6,15.61,32.38,48.83,35.35,109.93,96.54,36.12,39.23,7.83,176.35,86.18,533.91,5.9,82.64,30.8,53.15,15.45,57.9,9.13,37.31,26.39
194507,56.97,36.96,94.72,39.08,16.52,37.1,16.98,42.93,121.72,16.67,32.36,49.75,34.77,99.43,94.68,37.9,39.89,7.36,166.94,89.62,556.59,6.59,76.21,30.37,54.69,19.98,54.89,8.63,38.39,25.58
194508,56.26,33.78,94.26,37.38,16.13,36.07,16.85,42.12,118.6,15.88,31.44,48.55,33.53,98.18,93.35,35.78,38.17,7.23,161.21,89.04,568.73,6.65,74.03,29.69,51.03,19.66,54.82,8.59,36.98,24.48
194509,59.61,35.38,103.91,40.53,18.12,38.59,17.73,45.8,129.35,17.96,35.05,51.28,36.3,108.73,101.75,38.06,38.81,6.92,164.08,89.56,578.52,6.92,78.96,32.43,50.83,21.11,59.14,8.75,40.24,27.52
194510,64.8,40.62,105.08,44.01,20.19,39.17,18.25,48.71,137.55,19.46,37.6,55.32,37.78,110.56,104.35,39.43,40.86,7.61,166.93,95.2,582.55,7.67,83.6,34.02,54.2,21.61,62.27,10.27,40.8,29.54
194511,68.85,56.2,105.16,53.48,22.32,41.09,19.44,51.79,137.05,19.72,37.67,57.96,38.73,108.34,104.94,40.91,43.65,6.96,177.27,100.6,596.27,7.86,89.7,35.05,56.46,22.38,66.05,10.54,43.76,29.41
194512,70.64,58.42,107.66,62.3,22.78,42.52,20.2,55.94,140.8,22.11,39.24,61.18,41,110.73,106.74,42.53,48.75,7.14,190.01,104.93,616.23,8.98,92.42,36.5,60.54,24.28,70.02,11.78,45.72,29.24
194601,70.45,69.8,105.34,65.59,22.64,43.86,20.21,56.72,143.53,22.87,39.55,61.88,41.19,112.99,108.91,44.09,46.76,7.36,189.12,103.69,612.28,9.14,94.01,36.68,59.61,24.82,72.11,13.25,47.47,29.79
194602,74.03,69.85,105.69,74.85,24.41,45.67,23.14,61.01,151.33,24.66,42.88,70.22,43.48,120.07,116.63,47.9,50.21,8.08,188.67,114.64,623.97,9.13,100.36,37.61,63.15,28.49,79.91,13.35,50.96,31.11
194603,70.99,65.2,99.67,74.55,22.9,41.77,21.14,58.17,143.98,23.04,41.5,64.46,39.85,110.55,105.41,44.28,47.83,7.97,179.06,107.76,606.25,8.77,93.73,35.23,58.51,26.55,76.3,13.21,47.06,29.46
194604,74.45,70.99,108.04,83.23,23.94,44.68,22.47,66.55,154.11,24.8,43.82,66.57,41.72,109.31,107.4,44.75,47.44,7.8,198.84,114.09,606.52,9.5,100.82,38.21,60.35,28.12,85.18,13.75,49.55,31.67
194605,76.33,70.7,111.96,90.8,27.54,47.4,23.49,76.2,162.72,26.95,45.87,69.16,43.26,108.15,108.87,43.86,49.46,8.25,216.18,118.66,616.18,11.19,107.79,40.85,60.11,29.33,91.07,15.63,49.96,32.6
194606,77.47,76.15,115.16,86.63,27.74,47.74,25.46,80.19,169.15,29.32,48.14,73.33,46.13,114.34,114.81,45.59,50.71,8.62,222.5,121.77,633.46,11.76,111.71,42.46,62.83,31.24,92.29,15.39,51.93,34.3
194607,72.36,82.64,109.46,80.8,25.14,43.21,22.94,72.08,158.17,28.78,52.45,71.49,43.04,102.15,103.83,44.05,47.84,14.24,212.47,109.25,650.58,10.97,110.47,46.47,62.19,30.75,82.76,14.41,51.04,26.49
194608,71.62,84.8,108.35,79.64,23.79,42.32,22.48,69.62,154.16,27.57,49.44,69.6,40.65,98.24,99.32,42.18,45.14,14.25,211.99,105.06,650.07,10.86,107.7,45.43,58.43,29.68,81.37,14.18,48.57,25.15
194609,68.1,79.23,103.56,75.16,21.02,40.26,20.61,67.05,143.52,25.28,45.98,63.8,36.81,90.21,88.91,39.75,41.77,13.69,199.12,99.04,604.45,9.73,102.18,43.1,54.1,27.44,77.22,13.53,45.32,23.89
194610,61.85,65.69,91.85,64.79,18.37,36.47,18.06,62.2,130.33,22.03,41.7,56.08,32.19,79.96,76.05,34.86,38.3,11.98,182.91,90,568.74,8.26,93.52,38.21,45.04,25.28,72.68,11.5,38.98,20.92
194611,61.82,62.47,95.89,62.64,18.14,35.56,18.66,61.9,125.49,20.64,40.95,56.86,30.96,79.17,73.48,33.27,38.75,12.02,181.42,90.9,539.56,7.87,92.63,37.85,45.05,24.52,70.93,11.41,38.38,20.5
